model,prompt,eng,fra,amh,hau,ibo,lin,lug,orm,pcm,run,sna,som,swa,tir,xho,yor,avg_score
Llama-3.1-70B-Instruct,prompt_3,83.33,79.15,84.57,79.59,86.15,79.43,74.44,72.62,94.75,87.89,69.92,72.11,79.2,70.96,68.35,89.78,79.3
Llama-3.1-70B-Instruct,prompt_4,70.89,68.25,69.41,64.68,72.31,74.86,60.99,63.69,88.85,81.06,49.86,65.31,68.07,64.34,64.31,87.1,69.6
Llama-3.1-70B-Instruct,prompt_5,84.49,79.38,72.34,72.84,79.74,80.57,60.99,72.92,93.77,83.23,58.27,73.81,74.79,62.13,63.97,88.56,74.1
Llama-3.1-8B-Instruct,prompt_1,54.11,43.13,0,31.55,36.15,52.57,40.81,14.46,56.07,42.55,27.64,35.71,41.39,6.62,26.94,21.9,31.0
Llama-3.1-8B-Instruct,prompt_2,72.15,72.27,33.78,54.95,71.54,69.14,47.53,35.38,84.26,72.05,45.53,60.54,65.55,25,29.97,72.51,54.8
Llama-3.1-8B-Instruct,prompt_3,75.74,77.73,52.39,70.8,74.1,78.86,58.3,45.23,87.21,79.5,56.37,59.52,75.21,27.94,44.78,79.81,63.6
Llama-3.1-8B-Instruct,prompt_4,68.25,70.14,52.93,64.21,66.67,71.43,49.33,40.31,86.56,78.57,46.88,56.12,70.59,18.01,41.75,84.91,59.2
Llama-3.1-8B-Instruct,prompt_5,67.93,72.99,53.19,53.53,61.54,59.43,55.61,35.08,68.52,67.39,49.32,51.36,64.92,16.91,28.62,53.77,51.4
Meta-Llama-3-8B-Instruct,prompt_1,42.3,32.94,11.7,20.25,16.15,4,15.25,16.31,31.8,23.91,4.61,24.49,37.39,13.97,24.92,14.6,18.5
Meta-Llama-3-8B-Instruct,prompt_2,41.77,50.47,0,48.67,22.31,53.71,41.7,12.31,42.62,34.47,36.86,25.51,43.7,6.62,34.34,19.95,30.2
Meta-Llama-3-8B-Instruct,prompt_3,68.78,75.83,55.59,59.97,63.08,66.86,57.4,59.69,63.93,66.77,66.12,58.84,71.85,38.6,49.16,61.56,60.0
Meta-Llama-3-8B-Instruct,prompt_4,60.34,58.53,25,47.25,45.9,44,46.19,38.77,61.64,47.52,38.48,35.37,48.11,17.28,46.46,53.53,42.5
Meta-Llama-3-8B-Instruct,prompt_5,66.67,72.51,30.32,36.26,45.64,32.57,28.25,45.23,53.44,53.73,30.35,40.48,58.61,31.99,39.73,40.39,40.5
aya-101,prompt_1,87.13,80.81,88.3,82.57,78.97,83.43,84.75,89.23,95.41,92.86,79.13,70.75,79.41,81.62,94.61,93.92,85.4
aya-101,prompt_2,87.34,82.7,88.03,81.63,80,83.43,84.75,88.92,96.07,92.55,78.86,74.49,80.67,81.99,93.6,94.16,85.7
aya-101,prompt_3,85.97,76.54,87.77,81.63,80,82.86,82.96,91.08,94.43,92.86,76.15,70.41,79.83,80.15,94.28,94.4,84.9
aya-101,prompt_4,78.06,69.67,78.46,78.81,71.54,81.14,79.37,91.08,91.48,90.99,68.83,70.41,73.32,78.31,91.92,93.92,81.4
aya-101,prompt_5,86.08,77.49,88.83,83.2,78.46,85.14,84.3,88,96.72,94.72,78.59,71.43,80.04,80.15,95.29,93.19,85.6
gemma-1.1-7b-it,prompt_1,25.32,12.56,1.86,15.86,6.15,4,4.48,4.62,5.25,3.11,3.25,8.84,9.03,7.35,3.7,4.14,5.8
gemma-1.1-7b-it,prompt_2,68.14,64.22,28.46,71.11,68.97,79.43,61.43,75.38,86.89,86.34,71.82,68.37,72.48,34.19,81.48,84.43,69.3
gemma-1.1-7b-it,prompt_3,71.41,38.86,10.11,40.19,20.77,17.14,4.48,20.62,51.15,33.23,25.2,27.89,26.89,9.56,24.92,41.36,25.3
gemma-1.1-7b-it,prompt_4,69.94,50,32.71,59.65,52.31,70.29,57.85,45.85,80,58.07,47.97,50,54.2,24.63,70.37,66.42,55.0
gemma-1.1-7b-it,prompt_5,66.24,29.86,0.27,24.02,16.15,11.43,6.73,6.46,55.08,7.76,17.34,16.33,19.12,6.62,14.81,14.84,15.5
gemma-2-9b-it,prompt_1,79.11,74.64,76.6,74.88,75.13,80,72.2,79.08,90.49,85.09,71,74.15,76.47,66.91,87.21,88.32,78.4
gemma-2-9b-it,prompt_2,81.86,65.88,73.67,77.24,62.82,80,77.58,80.92,91.8,86.96,66.94,73.47,72.69,69.85,91.25,87.1,78.0
gemma-2-9b-it,prompt_3,80.17,77.73,79.52,80.69,84.62,85.14,78.92,81.23,92.13,89.13,77.24,75.17,78.99,73.9,85.86,85.64,82.0
gemma-2-9b-it,prompt_4,70.15,70.38,71.81,73.16,76.15,80,69.96,78.46,87.87,85.71,66.67,70.41,71.64,70.96,87.88,87.83,77.0
gemma-2-9b-it,prompt_5,78.48,75.59,79.26,80.22,82.82,83.43,78.03,78.46,90.82,86.02,78.05,73.47,77.94,70.96,86.53,86.62,80.9
gemma-2-27b-it,prompt_1,81.96,75.83,78.72,73.94,79.49,75.43,60.54,60.62,92.46,83.85,65.31,72.79,80.88,56.25,58.59,88.32,73.4
gemma-2-27b-it,prompt_2,85.44,76.3,80.85,79.12,83.33,82.86,67.26,64.31,94.75,85.09,70.73,72.11,81.93,56.62,64.65,91.48,76.8
gemma-2-27b-it,prompt_3,81.33,78.91,81.38,80.38,86.15,82.29,66.82,74.15,92.46,89.75,75.34,76.53,80.25,69.12,67,89.29,79.4
gemma-2-27b-it,prompt_4,71.52,66.59,67.82,71.9,72.82,62.29,56.05,53.85,89.51,81.68,49.59,67.01,71.22,53.68,62.29,87.35,67.6
gemma-2-27b-it,prompt_5,66.88,76.54,61.97,70.49,59.23,40.57,32.29,46.77,81.64,57.76,59.89,53.06,69.12,33.09,51.85,62.04,55.7
gemini-1.5-pro-002,prompt_1,84.81,79.38,88.03,80.06,83.85,82.29,75.78,78.15,94.75,89.03,71.00,83.16,80.67,80.15,77.10,91.48,82.5
gemini-1.5-pro-003,prompt_2,84.18,80.33,89.36,81.79,86.67,85.14,79.82,86.46,95.41,90.99,76.42,80.95,80.67,83.46,81.82,92.21,85.1
gemini-1.5-pro-004,prompt_3,85.23,79.15,86.97,80.22,83.33,83.43,78.03,80.00,92.79,90.99,70.73,81.63,81.09,83.82,78.11,91.73,83.1
gemini-1.5-pro-005,prompt_4,73.63,71.09,75.53,75.35,77.18,79.43,73.54,80.92,89.84,86.34,61.52,77.89,75.21,80.51,74.41,90.02,78.4
gemini-1.5-pro-006,prompt_5,81.96,78.67,89.36,82.57,87.18,84.57,78.92,85.85,94.43,90.99,75.34,81.29,80.04,84.56,84.18,89.54,84.9
gpt-4o-2024-08-06,prompt_1,83.02,80.33,85.37,78.18,82.82,83.43,78.03,83.38,94.75,90.37,70.73,78.74,77.31,77.21,80.47,92.21,82.4
gpt-4o-2024-08-07,prompt_2,82.38,79.38,87.23,82.89,85.64,85.14,81.17,88.31,95.74,91.30,74.80,80.95,80.88,84.56,85.19,92.70,85.5
gpt-4o-2024-08-08,prompt_3,83.23,80.57,86.70,80.38,83.85,85.71,79.37,85.23,94.43,89.75,71.27,79.93,80.04,78.31,80.81,93.19,83.5
gpt-4o-2024-08-09,prompt_4,75.74,74.88,77.66,76.92,80.00,76.00,73.99,80.92,91.48,85.09,64.77,73.47,75.21,72.06,74.07,91.48,78.1
gpt-4o-2024-08-10,prompt_5,81.96,78.20,87.50,82.73,85.38,88.57,80.72,88.00,95.74,90.06,78.05,79.93,77.73,78.68,85.86,90.75,85.0
