model,prompt,amh,arq,ary,hau,ibo,kin,orm,pcm,som,swa,tir,twi,xho,yor,zul,avg_score
Llama-3.1-8B-Instruct,prompt_2,14.3,16.5,17.8,24.1,12.4,21.9,19.4,18.9,24.4,20.6,11.7,8.8,21.2,18.4,21.6,18.4
Llama-3.1-8B-Instruct,prompt_3,14.3,16.5,17.8,24.1,12.4,21.9,18.9,18.9,24.4,20.6,11.7,8.8,21.2,18.4,21.6,18.4
Llama-3.1-8B-Instruct,prompt_4,23.3,30.7,22.9,25.4,13.9,31.9,35.7,24.9,26.7,21.7,21.9,9.9,22.4,19.4,23.3,23.6
Llama-3.1-8B-Instruct,prompt_5,14.3,16.5,17.8,24.1,12.4,21.9,19.4,18.9,24.4,20.6,11.7,8.8,21.2,18.4,21.6,18.4
AfroLlama-V1,prompt_1,23.9,21.8,11,13.3,11.7,24.5,22.8,8.1,9.9,11.8,27.9,12.1,15.5,12.1,13.5,15.4
AfroLlama-V1,prompt_2,21.1,15.8,11.1,6.3,8.1,14.1,21.0,8.4,8.1,11.6,24.8,8.2,9.2,8.2,8.5,11.7
AfroLlama-V1,prompt_3,21.2,18.3,10.4,8.3,8.9,15.3,22.1,7,12.3,10.9,24.7,8.4,9.4,9.9,8.9,12.5
AfroLlama-V1,prompt_4,20.3,22.8,18.7,13.3,11.3,22.3,24.6,7.2,18.1,12,16.6,11.7,15.2,17,13,16.0
AfroLlama-V1,prompt_5,14.3,16.5,17.8,24.1,12.4,21.9,19.4,18.9,24.4,20.6,11.7,8.8,21.2,18.4,21.6,18.4
gemma-2-9b-it,prompt_1,33.2,33.8,33.2,24.1,25.1,33.6,26.7,54.9,13.6,46.4,26.8,29.1,20,30.5,20.1,29.9
gemma-2-9b-it,prompt_2,30.3,32.1,28.4,17.5,15.7,26.2,24.7,29.4,11.6,36,26.8,26.8,13,25.4,13.8,23.4
gemma-2-9b-it,prompt_3,25.1,28.2,24.1,10.8,10.9,18.9,22.0,14.1,9.6,28.2,24.8,13.6,10.6,15.3,9.7,17.2
gemma-2-9b-it,prompt_4,27.7,28.3,25.7,13.1,13.4,23.7,24.2,17.9,11,30.5,24.8,15.8,12,25.5,10,19.7
gemma-2-9b-it,prompt_5,20.8,19.4,15.9,6.9,9.9,18,21.1,7.4,8.8,19.5,24.4,12.2,11.4,11.6,9,14.0
aya-101,prompt_1,39.3,33.6,29.9,34.3,20.9,37.9,34.8,36.9,38.3,35.7,36.8,13.2,26.4,27.1,28.7,31.0
aya-101,prompt_2,35.6,31.4,29.3,32.8,21.8,36.3,29.9,36.4,32.3,35.9,33,12.5,25.8,25.4,28.9,29.4
aya-101,prompt_3,24.2,33.1,30.3,35.1,24.8,28,23.0,39.4,32.3,45.1,20.8,11.3,30,27.6,34.1,29.6
aya-101,prompt_4,31.3,32.1,28.9,33.3,22.1,32.8,26.8,37.8,35.8,41.3,29.6,13.8,28.7,26.8,29.8,30.0
aya-101,prompt_5,19.5,20,23,28.5,13.9,28.8,25.8,32,30.8,25.4,13.8,10.6,21.9,20.9,24.4,22.8
gemma-2-27b-it,prompt_1,38.1,34.6,36.2,26.7,33.2,39.4,29.3,56.1,22.2,64.5,28.2,35.4,26.2,48.2,23.8,36.0
gemma-2-27b-it,prompt_2,38.3,35.4,29.9,23.2,22.1,32.4,36.2,37,24.9,40.2,30.5,17.8,20.5,31.7,23.2,28.9
gemma-2-27b-it,prompt_3,46.2,54,53.8,31.1,34,42.8,27.0,56.5,34.4,59.3,26.6,32.8,25.6,44.3,26.6,39.2
gemma-2-27b-it,prompt_4,48.4,49.1,53.8,34.8,42.8,52.7,39.8,60.9,39.6,70.9,35.4,38.1,30.6,54,35,45.5
gemma-2-27b-it,prompt_5,37.9,33.1,31.9,29,24.7,43.1,35.0,38.4,34.4,37.8,33.5,14.6,25.3,29.1,31.5,31.5
Meta-Llama-3.1-70B-Instruct,prompt_1,42.3,62.3,56.6,43.1,45.7,47.2,38.9,63.8,33,72.3,32,34,35.6,53.8,47.9,47.6
Meta-Llama-3.1-70B-Instruct,prompt_2,15.4,22.3,21.4,24.2,13.4,22.2,19.4,34.6,24.4,24.7,11.8,9.4,21.2,23.1,25.3,21.2
Meta-Llama-3.1-70B-Instruct,prompt_3,56.7,58.6,56.8,45.6,42.7,50.4,35.4,63.6,34.1,62.4,38.9,37.6,34.2,51.7,36.4,46.3
Meta-Llama-3.1-70B-Instruct,prompt_4,53,57,60.6,41.2,48.4,50.9,44.6,62.4,39.8,67,41,37.9,32.7,56.2,46.3,49.0
Meta-Llama-3.1-70B-Instruct,prompt_5,14.3,16.5,17.8,24.1,12.4,21.9,19.4,18.9,24.4,20.6,11.7,8.8,21.2,18.4,21.6,18.4
gemini-1.5-pro-002,prompt_1,56.1,70.6,68.2,61.4,66.9,64.2,57.6,65.0,60.8,80.5,37.5,50.6,58.0,73.1,55.4,62.1
gemini-1.5-pro-002,prompt_2,43.4,44.3,38.1,48.0,20.6,49.6,54.4,44.3,52.2,48.4,32.7,13.8,27.6,39.4,30.2,38.8
gemini-1.5-pro-002,prompt_3,67.2,64.4,70.5,58.0,66.4,65.8,62.1,65.5,53.3,76.6,54.8,54.9,50.6,72.5,51.7,61.9
gemini-1.5-pro-002,prompt_4,54.1,67.5,67.8,61.2,66.0,62.3,57.4,65.2,58.0,79.4,35.6,52.5,55.2,73.2,52.8,61.0
gemini-1.5-pro-002,prompt_5,42.3,31.3,19.0,16.2,15.4,28.3,49.4,14.5,21.5,25.3,48.6,13.6,16.7,15.8,17.1,23.8
gpt-4o-2024-08-06,prompt_1,56.8,66.6,72.4,59.5,68.1,60.5,57.1,65.4,65.9,77.9,43.8,49.0,66.1,74.9,59.6,63.3
gpt-4o-2024-08-06,prompt_2,39.0,35.0,36.8,39.9,18.8,43.6,49.1,39.9,49.0,41.5,26.8,13.6,32.2,36.6,27.1,35.0
gpt-4o-2024-08-06,prompt_3,60.1,65.0,72.8,59.2,68.5,62.2,59.3,64.9,66.9,76.0,48.1,47.3,64.2,73.3,58.4,63.3
gpt-4o-2024-08-06,prompt_4,56.0,69.7,75.5,59.2,69.7,60.1,53.5,65.2,68.5,78.0,42.4,51.2,63.7,74.5,58.7,63.5
gpt-4o-2024-08-06,prompt_5,45.5,30.7,14.6,9.8,13.0,26.9,45.5,11.1,13.8,18.9,57.7,14.3,16.1,13.2,14.2,21.4
